Name,Total Population,Total Households,Median Household Income (past 12 months),Same house 1 year ago,Geographical Mobility in past year,HH with Public assistance or Food Stamps/SNAP,Median Age,Per Capita Income,Total White alone,Total Black or African American alone,Total American Indian and Alaska Native alone,Total Asian alone,Total Native Hawaiian and Other Pacific Island alone,Some other race alone,Income in the past 12 months below Poverty Level,Two or more races,Median Yr Housing Blt,Median Yr HH moved into HH,Median Gross Rent ($),Median Value ($),Same house 1 year ago!!Below 100 percent of the poverty level,Same house 1 year ago!!100 to 149 percent of the poverty level,Same house 1 year ago!!At or above 150 percent of the poverty level,Same house 1 year ago (WHITE ALONE),Same house 1 year ago (BLACK OR AFRICAN AMERICAN ALONE),Same house 1 year ago (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Same house 1 year ago (ASIAN ALONE),Same house 1 year ago (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Same house 1 year ago (SOME OTHER RACE ALONE),Same house 1 year ago (TWO OR MORE RACES),B07004I_002E,MEANS OF TRANSPORTATION TO WORK total,"Total!!Car, truck, or van","Total!!Car, truck, or van!!Drove alone","Total!!Car, truck, or van!!Carpooled",Total!!Public transportation (excluding taxicab),Total!!Bicycle,Total!!Walked,Total!!Worked at home,Total!!Family households,Total!!Family households!!Married-couple family,Total!!Family households!!Other family,"Total!!Family households!!Other family!!Male householder, no wife present","Total!!Family households!!Other family!!Female householder, no husband present",Total!!Nonfamily households,Total!!Nonfamily households!!Householder living alone,Total!!Nonfamily households!!Householder not living alone,state,county,tract,Total!!Same house 1 year ago!!Less than high school graduate,Same house 1 year ago!!High school graduate (includes equivalency),Same house 1 year ago!!Some college or associate's degree,Same house 1 year ago!!Bachelor's degree,Same house 1 year ago!!Graduate or professional degree,Total!!Same house 1 year ago!!No income,Same house 1 year ago!!With income,"Same house 1 year ago!!With income!!$1 to $9,999 or loss","Same house 1 year ago!!With income!!$10,000 to $14,999","Same house 1 year ago!!With income!!$15,000 to $24,999","Same house 1 year ago!!With income!!$25,000 to $34,999","Same house 1 year ago!!With income!!$35,000 to $49,999","Same house 1 year ago!!With income!!$50,000 to $64,999","Same house 1 year ago!!With income!!$65,000 to $74,999","Same house 1 year ago!!With income!!$75,000 or more",Total!!With income,"Total!!With income!!$1 to $9,999 or loss","Total!!With income!!$10,000 to $14,999","Total!!With income!!$15,000 to $24,999","Total!!With income!!$25,000 to $34,999","Total!!With income!!$35,000 to $49,999","Total!!With income!!$50,000 to $64,999","Total!!With income!!$65,000 to $74,999","Total!!With income!!$75,000 or more",Total!!Below 100 percent of the poverty level,Total!!100 to 149 percent of the poverty level,Total!!At or above 150 percent of the poverty level,Same house 1 year ago!!1 to 4 years age,Same house 1 year ago!!5 to 17 years age,Same house 1 year ago!!18 and 19 years age,Same house 1 year ago!!20 to 24 years age,Same house 1 year ago!!25 to 29 years age,Same house 1 year ago!!30 to 34 yearsage,Same house 1 year ago!!35 to 39 years age,Same house 1 year ago!!40 to 44 years age,Same house 1 year ago!!45 to 49 years age,Same house 1 year ago!!50 to 54 years age,Same house 1 year ago!!55 to 59 years age,Same house 1 year ago!!60 to 64 years age,Same house 1 year ago!!65 to 69 years age,Same house 1 year ago!!70 to 74 years age,Same house 1 year ago!!75 years and over age,Total!!1 to 4 years,Total!!5 to 17 years,Total!!18 and 19 years,Total!!20 to 24 years,Total!!25 to 29 years,Total!!30 to 34 years,Total!!35 to 39 years,Total!!40 to 44 years,Total!!45 to 49 years,Total!!50 to 54 years,Total!!55 to 59 years,Total!!60 to 64 years,Total!!65 to 69 years,Total!!70 to 74 years,Total!!75 years and over,Total Male,Total Female,Gini Index of Inequality,year
"Census Tract 78.06, District of Columbia, District of Columbia",2141.0,807.0,45532.367333129994,1913.0,2114.0,204.0,38.7,20934.45899367,193.0,1884.0,0.0,0.0,0.0,0.0,486.0,64.0,1960,2001,740.0,255700.0,370.0,175.0,1368.0,147.0,1730.0,0.0,0.0,0.0,0.0,36.0,115.0,818.0,449.0,404.0,45.0,290.0,0.0,17.0,48.0,481.0,149.0,332.0,106.0,226.0,326.0,271.0,55.0,11,001,007806,124.0,592.0,452.0,121.0,17.0,170.0,1358.0,352.0,43.0,176.0,276.0,311.0,95.0,43.0,62.0,232.0,368.0,60.0,176.0,292.0,311.0,95.0,43.0,62.0,459.0,175.0,1450.0,43.0,459.0,29.0,76.0,135.0,86.0,104.0,243.0,72.0,186.0,109.0,174.0,51.0,80.0,66.0,55.0,551.0,29.0,101.0,135.0,86.0,119.0,243.0,89.0,202.0,109.0,198.0,51.0,80.0,66.0,902.0,1239.0,0.41,2010
"Census Tract 78.06, District of Columbia, District of Columbia",2341.0,869.0,45768.823391699996,2200.0,2324.0,251.0,38.1,24225.40906911,136.0,2183.0,0.0,0.0,0.0,0.0,469.0,22.0,1953.0,2002.0,849.0,239500.0,424.0,171.0,1605.0,136.0,2045.0,0.0,0.0,0.0,0.0,19.0,110.0,845.0,467.0,467.0,0.0,254.0,0.0,13.0,104.0,536.0,151.0,385.0,128.0,257.0,333.0,286.0,47.0,11,001,007806,104.0,692.0,414.0,176.0,19.0,304.0,1425.0,360.0,61.0,215.0,231.0,358.0,52.0,67.0,81.0,333.0,371.0,79.0,222.0,231.0,359.0,52.0,67.0,116.0,453.0,178.0,1693.0,94.0,558.0,26.0,117.0,123.0,117.0,83.0,266.0,60.0,231.0,137.0,157.0,67.0,49.0,115.0,95.0,589.0,26.0,127.0,160.0,117.0,93.0,266.0,71.0,242.0,143.0,157.0,67.0,49.0,122.0,1099.0,1242.0,0.4863,2011
"Census Tract 78.06, District of Columbia, District of Columbia",2213.0,864.0,42790.988644959994,2017.0,2189.0,234.0,40.7,26972.18629743,129.0,2039.0,10.0,0.0,0.0,0.0,484.0,35.0,1955.0,2002.0,831.0,250000.0,414.0,179.0,1424.0,129.0,1859.0,10.0,0.0,0.0,0.0,19.0,92.0,765.0,441.0,441.0,0.0,217.0,0.0,9.0,81.0,495.0,165.0,330.0,101.0,229.0,369.0,320.0,49.0,11,001,007806,126.0,656.0,355.0,208.0,7.0,329.0,1325.0,361.0,80.0,141.0,219.0,248.0,62.0,72.0,142.0,360.0,389.0,102.0,156.0,219.0,253.0,62.0,72.0,174.0,466.0,198.0,1525.0,72.0,447.0,52.0,94.0,113.0,72.0,57.0,212.0,84.0,226.0,128.0,217.0,55.0,72.0,116.0,78.0,493.0,52.0,99.0,147.0,72.0,70.0,212.0,101.0,254.0,140.0,217.0,55.0,72.0,127.0,1056.0,1157.0,0.5245,2012
"Census Tract 78.06, District of Columbia, District of Columbia",2127.0,848.0,40764.376672649996,1839.0,2095.0,232.0,40.9,22392.06483417,44.0,2041.0,11.0,0.0,0.0,0.0,479.0,31.0,1958.0,2003.0,880.0,237800.0,373.0,223.0,1236.0,44.0,1766.0,11.0,0.0,0.0,0.0,18.0,5.0,707.0,406.0,400.0,6.0,194.0,0.0,7.0,87.0,470.0,107.0,363.0,83.0,280.0,378.0,311.0,67.0,11,001,007806,139.0,649.0,270.0,118.0,6.0,344.0,1173.0,317.0,111.0,127.0,208.0,206.0,46.0,89.0,69.0,398.0,352.0,130.0,142.0,208.0,242.0,46.0,116.0,90.0,463.0,243.0,1382.0,105.0,409.0,58.0,85.0,93.0,72.0,55.0,155.0,68.0,156.0,155.0,188.0,44.0,79.0,117.0,109.0,466.0,58.0,109.0,118.0,72.0,67.0,203.0,91.0,181.0,167.0,194.0,44.0,79.0,137.0,1029.0,1098.0,0.4888,2013
"Census Tract 78.06, District of Columbia, District of Columbia",2116.0,865.0,34896.0,1763.0,2078.0,289.0,41.4,21293.0,58.0,2018.0,13.0,0.0,0.0,1.0,492.0,26.0,1958.0,2004.0,910.0,204400.0,383.0,256.0,1118.0,41.0,1694.0,13.0,0.0,0.0,0.0,15.0,5.0,764.0,391.0,375.0,16.0,328.0,0.0,8.0,33.0,462.0,101.0,361.0,91.0,270.0,403.0,366.0,37.0,11,001,007806,124.0,667.0,243.0,109.0,15.0,299.0,1172.0,331.0,134.0,126.0,226.0,141.0,71.0,76.0,67.0,321.0,407.0,176.0,138.0,255.0,185.0,85.0,86.0,93.0,467.0,290.0,1315.0,109.0,331.0,57.0,108.0,105.0,49.0,83.0,89.0,80.0,151.0,150.0,186.0,64.0,63.0,138.0,129.0,351.0,57.0,136.0,149.0,55.0,103.0,141.0,137.0,185.0,161.0,193.0,64.0,63.0,154.0,1021.0,1095.0,0.5033,2014
"Census Tract 78.06, District of Columbia, District of Columbia",2080.0,921.0,29638.0,1681.0,2037.0,330.0,37.7,20595.0,57.0,1991.0,13.0,0.0,0.0,3.0,547.0,16.0,1958.0,2005.0,911.0,215200.0,445.0,270.0,960.0,35.0,1627.0,13.0,0.0,0.0,0.0,6.0,6.0,737.0,366.0,343.0,23.0,316.0,0.0,8.0,41.0,426.0,104.0,322.0,79.0,243.0,495.0,458.0,37.0,11,001,007806,152.0,620.0,244.0,91.0,9.0,262.0,1113.0,287.0,175.0,127.0,196.0,121.0,78.0,65.0,64.0,291.0,346.0,201.0,162.0,227.0,172.0,83.0,74.0,88.0,534.0,377.0,1120.0,125.0,292.0,36.0,112.0,82.0,99.0,99.0,73.0,48.0,158.0,123.0,130.0,124.0,58.0,122.0,171.0,333.0,43.0,140.0,123.0,103.0,115.0,148.0,93.0,170.0,135.0,136.0,130.0,58.0,139.0,1002.0,1078.0,0.5036,2015
"Census Tract 78.06, District of Columbia, District of Columbia",2078.0,878.0,33125.0,1641.0,2018.0,379.0,41.6,19273.0,54.0,2013.0,9.0,0.0,0.0,2.0,609.0,0.0,1959.0,2007.0,909.0,256000.0,469.0,213.0,945.0,31.0,1601.0,9.0,0.0,0.0,0.0,0.0,0.0,748.0,368.0,321.0,47.0,364.0,0.0,10.0,0.0,414.0,103.0,311.0,45.0,266.0,464.0,398.0,66.0,11,001,007806,175.0,653.0,261.0,64.0,10.0,279.0,1112.0,298.0,151.0,166.0,173.0,111.0,97.0,23.0,93.0,311.0,378.0,176.0,196.0,209.0,178.0,104.0,29.0,100.0,581.0,325.0,1098.0,94.0,219.0,40.0,125.0,85.0,79.0,134.0,117.0,74.0,73.0,162.0,150.0,131.0,59.0,99.0,137.0,263.0,47.0,158.0,107.0,83.0,152.0,201.0,128.0,94.0,182.0,159.0,137.0,59.0,111.0,945.0,1133.0,0.4508,2016
"Census Tract 78.06, District of Columbia, District of Columbia",2169.0,910.0,37981.0,1781.0,2105.0,329.0,38.4,20728.0,62.0,2104.0,0.0,0.0,0.0,3.0,481.0,0.0,1959.0,2009.0,952.0,297800.0,367.0,188.0,1212.0,40.0,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,429.0,370.0,59.0,318.0,0.0,0.0,17.0,441.0,167.0,274.0,29.0,245.0,469.0,410.0,59.0,11,001,007806,140.0,697.0,257.0,165.0,53.0,288.0,1222.0,242.0,112.0,292.0,162.0,137.0,154.0,25.0,98.0,322.0,294.0,112.0,334.0,196.0,190.0,167.0,32.0,102.0,453.0,282.0,1356.0,98.0,217.0,31.0,123.0,80.0,178.0,165.0,89.0,61.0,84.0,170.0,131.0,133.0,85.0,136.0,145.0,255.0,39.0,147.0,104.0,182.0,183.0,166.0,107.0,92.0,181.0,138.0,139.0,85.0,142.0,998.0,1171.0,0.4215,2017
"Census Tract 78.06, District of Columbia, District of Columbia",2447.0,1026.0,36894.0,2031.0,2379.0,376.0,38.0,24627.0,40.0,2370.0,33.0,0.0,0.0,4.0,474.0,0.0,1958.0,2010.0,972.0,348600.0,391.0,322.0,1307.0,14.0,1983.0,33.0,0.0,0.0,1.0,0.0,1.0,955.0,596.0,482.0,114.0,334.0,0.0,0.0,25.0,471.0,169.0,302.0,76.0,226.0,555.0,483.0,72.0,11,001,007806,160.0,738.0,343.0,226.0,86.0,317.0,1452.0,264.0,145.0,283.0,235.0,141.0,186.0,49.0,149.0,335.0,315.0,145.0,360.0,323.0,152.0,212.0,49.0,154.0,441.0,416.0,1511.0,94.0,223.0,32.0,129.0,147.0,215.0,196.0,98.0,88.0,117.0,150.0,157.0,160.0,93.0,132.0,145.0,244.0,43.0,145.0,224.0,220.0,218.0,160.0,143.0,126.0,163.0,157.0,166.0,93.0,132.0,1124.0,1323.0,0.4465,2018
"Census Tract 78.09, District of Columbia, District of Columbia",2711.0,1177.0,23871.264835269998,2308.0,2627.0,497.0,35.6,20233.7284822,27.0,2684.0,0.0,0.0,0.0,0.0,950.0,0.0,1947,2001,818.0,211300.0,886.0,611.0,811.0,0.0,2308.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,351.0,351.0,0.0,325.0,0.0,46.0,0.0,640.0,78.0,562.0,44.0,518.0,537.0,446.0,91.0,11,001,007809,366.0,584.0,353.0,54.0,75.0,239.0,1608.0,621.0,200.0,239.0,169.0,111.0,179.0,0.0,89.0,290.0,650.0,200.0,283.0,190.0,166.0,179.0,0.0,125.0,923.0,647.0,1057.0,94.0,528.0,31.0,223.0,115.0,41.0,151.0,222.0,184.0,227.0,133.0,113.0,75.0,92.0,79.0,125.0,623.0,47.0,223.0,125.0,90.0,167.0,222.0,272.0,227.0,133.0,127.0,75.0,92.0,79.0,1184.0,1527.0,0.536,2010
"Census Tract 78.09, District of Columbia, District of Columbia",2627.0,1095.0,23032.331695959998,2353.0,2587.0,427.0,36.8,18919.72380969,49.0,2578.0,0.0,0.0,0.0,0.0,994.0,0.0,1948.0,2001.0,851.0,211800.0,924.0,513.0,916.0,9.0,2344.0,0.0,0.0,0.0,0.0,0.0,7.0,743.0,344.0,344.0,0.0,348.0,0.0,51.0,0.0,548.0,36.0,512.0,39.0,473.0,547.0,455.0,92.0,11,001,007809,366.0,485.0,425.0,72.0,96.0,301.0,1661.0,515.0,293.0,299.0,132.0,144.0,165.0,22.0,91.0,345.0,563.0,293.0,299.0,144.0,208.0,165.0,22.0,91.0,994.0,513.0,1079.0,57.0,598.0,56.0,198.0,72.0,23.0,193.0,189.0,206.0,218.0,152.0,100.0,95.0,91.0,105.0,71.0,680.0,56.0,198.0,106.0,75.0,209.0,189.0,217.0,218.0,152.0,125.0,95.0,91.0,105.0,1089.0,1538.0,0.4964,2011
"Census Tract 78.09, District of Columbia, District of Columbia",2575.0,1140.0,35951.038274909995,2266.0,2520.0,387.0,37.6,19288.98395595,49.0,2499.0,9.0,0.0,0.0,0.0,763.0,18.0,1949.0,2001.0,916.0,195700.0,702.0,531.0,1033.0,10.0,2229.0,9.0,0.0,0.0,0.0,18.0,28.0,801.0,368.0,317.0,51.0,379.0,0.0,54.0,0.0,582.0,62.0,520.0,94.0,426.0,558.0,508.0,50.0,11,001,007809,357.0,496.0,425.0,77.0,122.0,247.0,1730.0,588.0,250.0,290.0,153.0,193.0,146.0,10.0,100.0,281.0,640.0,250.0,290.0,166.0,262.0,159.0,10.0,100.0,763.0,531.0,1224.0,81.0,462.0,93.0,153.0,57.0,91.0,161.0,206.0,114.0,189.0,200.0,116.0,126.0,98.0,119.0,97.0,552.0,93.0,153.0,95.0,148.0,175.0,206.0,129.0,189.0,200.0,140.0,126.0,98.0,119.0,1105.0,1470.0,0.4419,2012
"Census Tract 78.09, District of Columbia, District of Columbia",2708.0,1177.0,36768.37725362,2309.0,2650.0,376.0,37.4,21272.40760706,44.0,2615.0,11.0,10.0,0.0,0.0,814.0,28.0,1948.0,2002.0,951.0,191900.0,638.0,443.0,1228.0,19.0,2241.0,11.0,10.0,0.0,0.0,28.0,26.0,884.0,444.0,378.0,66.0,394.0,0.0,27.0,0.0,683.0,133.0,550.0,75.0,475.0,494.0,422.0,72.0,11,001,007809,347.0,589.0,441.0,107.0,128.0,179.0,1848.0,611.0,224.0,265.0,218.0,234.0,141.0,25.0,130.0,230.0,703.0,224.0,265.0,230.0,290.0,149.0,25.0,130.0,814.0,443.0,1381.0,63.0,465.0,50.0,119.0,91.0,141.0,152.0,142.0,135.0,236.0,205.0,139.0,207.0,94.0,70.0,63.0,625.0,50.0,119.0,122.0,237.0,167.0,142.0,153.0,236.0,217.0,148.0,207.0,94.0,70.0,1136.0,1572.0,0.4534,2013
"Census Tract 78.09, District of Columbia, District of Columbia",2664.0,1131.0,38819.0,2228.0,2584.0,315.0,36.9,21225.0,56.0,2503.0,11.0,15.0,0.0,0.0,674.0,79.0,1948.0,2001.0,1055.0,185500.0,474.0,315.0,1439.0,26.0,2097.0,11.0,15.0,0.0,0.0,79.0,53.0,974.0,575.0,498.0,77.0,367.0,0.0,8.0,0.0,618.0,137.0,481.0,97.0,384.0,513.0,446.0,67.0,11,001,007809,292.0,603.0,429.0,122.0,140.0,168.0,1732.0,479.0,172.0,296.0,221.0,249.0,76.0,81.0,158.0,217.0,573.0,172.0,296.0,235.0,268.0,120.0,93.0,159.0,657.0,315.0,1598.0,77.0,358.0,111.0,96.0,77.0,197.0,82.0,104.0,176.0,258.0,181.0,111.0,231.0,91.0,78.0,77.0,515.0,111.0,96.0,108.0,304.0,97.0,104.0,191.0,258.0,191.0,132.0,231.0,91.0,78.0,1115.0,1549.0,0.4194,2014
"Census Tract 78.09, District of Columbia, District of Columbia",2805.0,1175.0,39508.0,2476.0,2739.0,314.0,35.3,23366.0,67.0,2629.0,12.0,16.0,0.0,0.0,680.0,81.0,1947.0,2004.0,1022.0,205800.0,482.0,263.0,1731.0,32.0,2335.0,12.0,16.0,0.0,0.0,81.0,54.0,1208.0,713.0,606.0,107.0,463.0,0.0,9.0,0.0,656.0,163.0,493.0,105.0,388.0,519.0,416.0,103.0,11,001,007809,290.0,722.0,466.0,132.0,138.0,226.0,1866.0,460.0,142.0,335.0,261.0,244.0,151.0,104.0,169.0,237.0,558.0,143.0,335.0,277.0,254.0,161.0,140.0,170.0,662.0,263.0,1803.0,99.0,406.0,121.0,102.0,135.0,236.0,65.0,113.0,207.0,305.0,179.0,111.0,200.0,104.0,93.0,99.0,486.0,121.0,122.0,193.0,308.0,76.0,114.0,207.0,305.0,189.0,122.0,200.0,104.0,93.0,1162.0,1643.0,0.4232,2015
"Census Tract 78.09, District of Columbia, District of Columbia",3074.0,1241.0,40521.0,2802.0,3005.0,340.0,34.2,22149.0,14.0,2959.0,7.0,22.0,0.0,0.0,823.0,72.0,1948.0,2006.0,1077.0,206200.0,675.0,249.0,1878.0,14.0,2687.0,7.0,22.0,0.0,0.0,72.0,48.0,1424.0,883.0,746.0,137.0,509.0,0.0,10.0,0.0,749.0,172.0,577.0,169.0,408.0,492.0,404.0,88.0,11,001,007809,240.0,940.0,519.0,100.0,182.0,332.0,2040.0,493.0,103.0,415.0,371.0,214.0,220.0,99.0,125.0,345.0,557.0,104.0,415.0,371.0,224.0,239.0,130.0,126.0,805.0,249.0,1938.0,110.0,473.0,101.0,137.0,259.0,321.0,93.0,125.0,200.0,293.0,179.0,111.0,218.0,99.0,83.0,110.0,537.0,101.0,154.0,287.0,381.0,107.0,126.0,200.0,293.0,189.0,120.0,218.0,99.0,83.0,1440.0,1634.0,0.3985,2016
"Census Tract 78.09, District of Columbia, District of Columbia",3521.0,1247.0,47713.0,3146.0,3445.0,395.0,32.5,20148.0,16.0,3401.0,0.0,33.0,0.0,0.0,1044.0,71.0,1949.0,2007.0,1072.0,209300.0,833.0,157.0,2155.0,16.0,3042.0,0.0,33.0,0.0,0.0,55.0,49.0,1530.0,911.0,791.0,120.0,572.0,0.0,10.0,18.0,772.0,193.0,579.0,132.0,447.0,475.0,391.0,84.0,11,001,007809,300.0,939.0,531.0,128.0,200.0,407.0,2235.0,531.0,189.0,358.0,481.0,248.0,231.0,138.0,59.0,442.0,623.0,190.0,374.0,481.0,309.0,231.0,163.0,60.0,1003.0,157.0,2257.0,144.0,601.0,100.0,203.0,261.0,363.0,142.0,169.0,163.0,324.0,189.0,78.0,170.0,60.0,179.0,144.0,669.0,100.0,232.0,285.0,419.0,196.0,170.0,163.0,324.0,201.0,133.0,170.0,60.0,179.0,1627.0,1894.0,0.3643,2017
"Census Tract 78.09, District of Columbia, District of Columbia",3034.0,1147.0,51094.0,2841.0,2984.0,338.0,34.0,23375.0,0.0,2921.0,0.0,8.0,0.0,0.0,934.0,105.0,1950.0,2008.0,1064.0,233000.0,882.0,108.0,1850.0,0.0,2746.0,0.0,8.0,0.0,0.0,87.0,54.0,1433.0,844.0,771.0,73.0,538.0,0.0,12.0,26.0,665.0,127.0,538.0,103.0,435.0,482.0,411.0,71.0,11,001,007809,209.0,831.0,589.0,71.0,149.0,294.0,2048.0,485.0,171.0,311.0,373.0,139.0,362.0,132.0,75.0,295.0,542.0,172.0,329.0,373.0,167.0,363.0,160.0,84.0,915.0,108.0,1956.0,139.0,593.0,93.0,167.0,239.0,261.0,142.0,144.0,183.0,211.0,165.0,147.0,120.0,68.0,169.0,139.0,593.0,93.0,204.0,268.0,286.0,156.0,145.0,183.0,211.0,166.0,183.0,120.0,68.0,169.0,1347.0,1687.0,0.3971,2018
"Census Tract 95.01, District of Columbia, District of Columbia",6360.0,1847.0,43767.04470408,3463.0,6360.0,334.0,20.8,17247.25607122,2349.0,3377.0,0.0,84.0,0.0,483.0,796.0,67.0,1953,2004,1042.0,291300.0,575.0,636.0,1918.0,350.0,2609.0,0.0,25.0,0.0,451.0,28.0,466.0,2575.0,845.0,771.0,74.0,919.0,40.0,596.0,148.0,784.0,279.0,505.0,133.0,372.0,1063.0,958.0,105.0,11,001,009501,493.0,524.0,547.0,207.0,184.0,372.0,2257.0,608.0,276.0,375.0,272.0,219.0,297.0,106.0,104.0,569.0,2461.0,427.0,551.0,303.0,363.0,394.0,115.0,157.0,796.0,906.0,2332.0,161.0,842.0,214.0,291.0,127.0,264.0,222.0,191.0,146.0,306.0,293.0,108.0,98.0,47.0,153.0,268.0,1058.0,1601.0,824.0,375.0,370.0,328.0,238.0,176.0,315.0,323.0,125.0,147.0,59.0,153.0,3533.0,2827.0,0.445,2010
"Census Tract 95.01, District of Columbia, District of Columbia",6243.0,1796.0,43758.40703984,4409.0,6243.0,389.0,22.1,19078.4408901,1787.0,3813.0,27.0,150.0,0.0,422.0,1090.0,44.0,1951.0,2005.0,1072.0,293300.0,815.0,680.0,1904.0,779.0,3047.0,27.0,131.0,0.0,415.0,10.0,419.0,2398.0,758.0,648.0,110.0,1083.0,53.0,408.0,63.0,861.0,269.0,592.0,198.0,394.0,935.0,790.0,145.0,11,001,009501,475.0,705.0,572.0,266.0,152.0,785.0,2813.0,1003.0,291.0,521.0,199.0,242.0,236.0,116.0,205.0,960.0,1895.0,420.0,648.0,261.0,356.0,294.0,125.0,257.0,1090.0,980.0,2259.0,154.0,851.0,570.0,664.0,166.0,306.0,294.0,209.0,184.0,288.0,260.0,122.0,95.0,101.0,145.0,278.0,960.0,1173.0,994.0,472.0,416.0,383.0,264.0,220.0,288.0,266.0,124.0,150.0,110.0,145.0,3096.0,3147.0,0.4853,2011
"Census Tract 95.01, District of Columbia, District of Columbia",6426.0,1777.0,44008.8993028,4664.0,6383.0,376.0,23.0,18511.594174349997,1709.0,3763.0,24.0,128.0,0.0,738.0,1386.0,64.0,1952.0,2004.0,1076.0,295400.0,1079.0,563.0,2060.0,770.0,3121.0,13.0,93.0,0.0,643.0,24.0,684.0,2433.0,792.0,672.0,120.0,1109.0,50.0,388.0,65.0,906.0,329.0,577.0,136.0,441.0,871.0,715.0,156.0,11,001,009501,634.0,741.0,659.0,260.0,224.0,901.0,2933.0,1069.0,227.0,496.0,236.0,239.0,234.0,133.0,299.0,1131.0,1943.0,397.0,564.0,291.0,352.0,255.0,148.0,312.0,1354.0,818.0,2304.0,196.0,767.0,533.0,650.0,357.0,269.0,311.0,254.0,225.0,294.0,305.0,122.0,103.0,74.0,204.0,294.0,836.0,1208.0,1017.0,635.0,346.0,377.0,258.0,240.0,294.0,322.0,125.0,153.0,74.0,204.0,3135.0,3291.0,0.4922,2012
"Census Tract 95.01, District of Columbia, District of Columbia",7006.0,1746.0,48742.33930632,4814.0,6925.0,479.0,23.4,16654.49636275,1917.0,4147.0,18.0,105.0,0.0,753.0,1219.0,66.0,1953.0,2005.0,1056.0,306100.0,846.0,813.0,2170.0,892.0,3172.0,8.0,87.0,0.0,633.0,22.0,712.0,2695.0,1012.0,860.0,152.0,1187.0,59.0,319.0,92.0,1020.0,491.0,529.0,120.0,409.0,726.0,537.0,189.0,11,001,009501,530.0,875.0,681.0,238.0,305.0,946.0,3045.0,1053.0,298.0,531.0,269.0,231.0,230.0,77.0,356.0,1244.0,1933.0,499.0,646.0,345.0,393.0,257.0,85.0,372.0,1181.0,1101.0,2705.0,276.0,686.0,550.0,673.0,408.0,302.0,352.0,199.0,180.0,301.0,331.0,206.0,70.0,77.0,203.0,465.0,836.0,1263.0,1015.0,743.0,464.0,443.0,205.0,194.0,301.0,350.0,225.0,141.0,77.0,203.0,3376.0,3630.0,0.4135,2013
"Census Tract 95.01, District of Columbia, District of Columbia",6983.0,1763.0,43924.0,4994.0,6874.0,421.0,23.6,14906.0,1950.0,3780.0,15.0,162.0,0.0,839.0,1380.0,237.0,1954.0,2006.0,1122.0,305400.0,1001.0,972.0,1968.0,1003.0,2962.0,4.0,126.0,0.0,693.0,206.0,988.0,2681.0,1154.0,1010.0,144.0,987.0,90.0,388.0,62.0,983.0,447.0,536.0,145.0,391.0,780.0,587.0,193.0,11,001,009501,625.0,866.0,681.0,216.0,273.0,977.0,3069.0,1089.0,370.0,553.0,276.0,235.0,147.0,83.0,316.0,1247.0,1876.0,505.0,681.0,339.0,382.0,199.0,113.0,353.0,1323.0,1054.0,2559.0,431.0,622.0,548.0,732.0,482.0,388.0,244.0,121.0,194.0,311.0,320.0,230.0,94.0,90.0,187.0,523.0,781.0,1117.0,1140.0,817.0,500.0,305.0,142.0,232.0,332.0,330.0,272.0,106.0,90.0,187.0,3474.0,3509.0,0.4273,2014
"Census Tract 95.01, District of Columbia, District of Columbia",7088.0,1832.0,42115.0,5168.0,6977.0,474.0,23.3,15095.0,1923.0,3806.0,17.0,151.0,0.0,880.0,1177.0,311.0,1958.0,2007.0,1135.0,334200.0,858.0,1087.0,2222.0,1060.0,3010.0,6.0,89.0,0.0,731.0,272.0,1201.0,2825.0,1275.0,1110.0,165.0,951.0,54.0,463.0,82.0,1027.0,490.0,537.0,126.0,411.0,805.0,617.0,188.0,11,001,009501,611.0,906.0,715.0,292.0,299.0,756.0,3431.0,1275.0,371.0,594.0,285.0,300.0,191.0,69.0,346.0,1024.0,2168.0,531.0,672.0,341.0,410.0,245.0,69.0,370.0,1121.0,1161.0,2736.0,469.0,676.0,576.0,624.0,510.0,450.0,316.0,141.0,259.0,215.0,258.0,245.0,131.0,89.0,209.0,562.0,768.0,1194.0,1089.0,789.0,548.0,351.0,141.0,287.0,239.0,289.0,279.0,143.0,89.0,209.0,3509.0,3579.0,0.4289,2015
"Census Tract 95.01, District of Columbia, District of Columbia",7625.0,1908.0,45455.0,5091.0,7520.0,493.0,22.8,15737.0,2094.0,3790.0,25.0,240.0,0.0,1228.0,994.0,248.0,1959.0,2009.0,1144.0,348900.0,678.0,1100.0,2330.0,1068.0,2962.0,13.0,152.0,0.0,681.0,215.0,1140.0,3163.0,1363.0,1230.0,133.0,1045.0,97.0,551.0,81.0,1093.0,556.0,537.0,137.0,400.0,815.0,639.0,176.0,11,001,009501,581.0,842.0,658.0,318.0,395.0,693.0,3445.0,1283.0,371.0,535.0,276.0,299.0,238.0,109.0,334.0,1063.0,2277.0,525.0,688.0,389.0,474.0,311.0,122.0,376.0,945.0,1257.0,3210.0,448.0,649.0,548.0,652.0,459.0,405.0,344.0,192.0,284.0,251.0,243.0,192.0,171.0,49.0,204.0,662.0,825.0,1238.0,1294.0,819.0,552.0,392.0,192.0,329.0,276.0,275.0,229.0,184.0,49.0,204.0,3821.0,3804.0,0.441,2016
